iter	Passed	Remaining
701	3800	1613
702	3806	1608
703	3812	1603
704	3819	1598
705	3825	1592
706	3830	1587
707	3835	1581
708	3840	1576
709	3846	1570
710	3851	1565
711	3856	1559
712	3861	1554
713	3866	1548
714	3871	1543
715	3876	1537
716	3882	1532
717	3887	1526
718	3892	1521
719	3897	1515
720	3903	1510
721	3908	1504
722	3911	1498
723	3916	1492
724	3922	1487
725	3927	1482
726	3932	1476
727	3937	1471
728	3943	1465
729	3948	1460
730	3953	1454
731	3958	1449
732	3964	1443
733	3969	1438
734	3974	1432
735	3979	1427
736	3985	1422
737	3990	1416
738	3995	1411
739	4000	1405
740	4005	1400
741	4011	1394
742	4016	1389
743	4021	1383
744	4026	1378
745	4031	1372
746	4036	1367
747	4041	1361
748	4047	1356
749	4053	1351
750	4058	1345
751	4064	1340
752	4068	1334
753	4074	1329
754	4079	1323
755	4085	1318
756	4092	1313
757	4097	1308
758	4103	1302
759	4108	1297
760	4114	1292
761	4120	1286
762	4126	1281
763	4131	1276
764	4137	1271
765	4144	1266
766	4150	1260
767	4156	1255
768	4162	1250
769	4168	1245
770	4174	1239
771	4180	1234
772	4186	1229
773	4191	1223
774	4197	1218
775	4202	1213
776	4208	1207
777	4214	1202
778	4220	1197
779	4225	1191
780	4231	1186
781	4236	1181
782	4242	1175
783	4247	1170
784	4253	1164
785	4259	1159
786	4264	1154
787	4270	1148
788	4275	1143
789	4281	1138
790	4287	1132
791	4292	1127
792	4298	1121
793	4303	1116
794	4308	1110
795	4313	1105
796	4318	1099
797	4323	1094
798	4329	1089
799	4334	1083
800	4339	1078
801	4344	1072
802	4350	1067
803	4355	1061
804	4360	1056
805	4365	1050
806	4370	1045
807	4376	1039
808	4381	1034
809	4386	1028
810	4391	1023
811	4396	1017
812	4401	1012
813	4407	1007
814	4412	1001
815	4418	996
816	4423	990
817	4428	985
818	4433	979
819	4439	974
820	4444	968
821	4449	963
822	4454	958
823	4459	952
824	4465	947
825	4470	941
826	4475	936
827	4480	930
828	4486	925
829	4491	919
830	4497	914
831	4502	909
832	4508	903
833	4513	898
834	4519	893
835	4524	887
836	4530	882
837	4535	876
838	4541	871
839	4546	866
840	4551	860
841	4557	855
842	4562	849
843	4567	844
844	4573	838
845	4578	833
846	4583	828
847	4588	822
848	4594	817
849	4599	811
850	4604	806
851	4608	800
852	4614	795
853	4619	789
854	4624	784
855	4629	778
856	4635	773
857	4640	767
858	4645	762
859	4650	757
860	4656	751
861	4661	746
862	4666	740
863	4671	735
864	4677	729
865	4682	724
866	4687	719
867	4692	713
868	4697	708
869	4703	702
870	4708	697
871	4714	691
872	4719	686
873	4724	681
874	4730	675
875	4735	670
876	4741	664
877	4746	659
878	4751	654
879	4756	648
880	4762	643
881	4767	637
882	4773	632
883	4778	627
884	4784	621
885	4789	616
886	4795	610
887	4800	605
888	4805	600
889	4811	594
890	4817	589
891	4824	584
892	4830	578
893	4836	573
894	4841	568
895	4847	562
896	4853	557
897	4859	551
898	4864	546
899	4870	541
900	4876	535
901	4881	530
902	4886	524
903	4891	519
904	4896	514
905	4901	508
906	4907	503
907	4912	497
908	4917	492
909	4922	486
910	4927	481
911	4933	475
912	4938	470
913	4943	465
914	4948	459
915	4953	454
916	4958	448
917	4963	443
918	4967	437
919	4973	432
920	4978	427
921	4983	421
922	4988	416
923	4994	410
924	4999	405
925	5004	399
926	5010	394
927	5015	389
928	5021	383
929	5026	378
930	5032	372
931	5037	367
932	5042	362
933	5048	356
934	5053	351
935	5058	345
936	5064	340
937	5070	335
938	5075	329
939	5080	324
940	5086	318
941	5092	313
942	5097	308
943	5101	302
944	5106	297
945	5111	291
946	5117	286
947	5122	280
948	5128	275
949	5133	270
950	5140	264
951	5145	259
952	5152	254
953	5157	248
954	5163	243
955	5168	237
956	5174	232
957	5179	227
958	5185	221
959	5191	216
960	5197	210
961	5202	205
962	5208	200
963	5213	194
964	5220	189
965	5225	183
